LocationType,Location,TimeFrame,DataFormat,Data
State,Georgia,1997,Number,118221
State,Georgia,1995,Number,112282
State,Georgia,1996,Number,114043
State,Georgia,1993,Number,110622
State,Georgia,1994,Number,111011
State,Georgia,1990,Number,112666
State,Georgia,1991,Number,110288
State,Georgia,1992,Number,111116
State,Hawaii,1992,Number,19864
State,Hawaii,1991,Number,19922
State,Hawaii,1990,Number,20489
State,Hawaii,1994,Number,19517
State,Hawaii,1993,Number,19593
State,Hawaii,1996,Number,18401
State,Hawaii,1995,Number,18595
State,Hawaii,1997,Number,17393
State,Hawaii,2000,Number,17551
State,Hawaii,1999,Number,17038
State,Hawaii,1998,Number,17583
State,Hawaii,2002,Number,17477
State,Hawaii,2001,Number,17072
State,Hawaii,2004,Number,18281
State,Hawaii,2003,Number,18100
State,Hawaii,2005,Number,17924
State,Hawaii,2008,Number,19484
State,Hawaii,2007,Number,19134
State,Hawaii,2006,Number,18982
State,Hawaii,2013,Number,18987
State,Hawaii,2009,Number,18887
State,Hawaii,2010,Number,18988
State,Hawaii,2015,Number,18420
State,Hawaii,2011,Number,18956
State,Hawaii,2012,Number,18980
State,Hawaii,2014,Number,18550
State,Hawaii,2016,Number,18059
State,Idaho,2016,Number,22482
State,Idaho,2014,Number,22876
State,Idaho,2012,Number,22963
State,Idaho,2011,Number,22305
State,Idaho,2015,Number,22827
State,Idaho,2010,Number,23198
State,Idaho,2009,Number,23737
State,Idaho,2013,Number,22383
State,Idaho,2006,Number,24184
State,Idaho,2007,Number,25019
State,Idaho,2008,Number,25149
State,Idaho,2005,Number,23062
State,Idaho,2003,Number,21800
State,Idaho,2004,Number,22532
State,Idaho,2001,Number,20688
State,Idaho,2002,Number,20970
State,Idaho,1998,Number,19391
State,Idaho,1999,Number,19872
State,Idaho,2000,Number,20366
State,Idaho,1997,Number,18582
State,Idaho,1995,Number,18035
State,Idaho,1996,Number,18625
State,Idaho,1993,Number,17440
State,Idaho,1994,Number,17526
State,Idaho,1990,Number,16433
State,Idaho,1991,Number,16821
State,Idaho,1992,Number,17362
State,Illinois,1992,Number,191396
State,Illinois,1991,Number,194231
State,Illinois,1990,Number,195790
State,Illinois,1994,Number,189257
State,Illinois,1993,Number,190788
State,Illinois,1996,Number,183180
State,Illinois,1995,Number,185812
State,Illinois,1997,Number,180803
State,Illinois,2000,Number,185036
State,Illinois,1999,Number,182068
State,Illinois,1998,Number,182588
State,Illinois,2002,Number,180622
State,Illinois,2001,Number,184064
State,Illinois,2004,Number,180778
State,Illinois,2003,Number,182495
State,Illinois,2005,Number,179020
State,Illinois,2008,Number,176795
State,Illinois,2007,Number,180836
State,Illinois,2006,Number,180572
State,Illinois,2013,Number,156931
State,Illinois,2009,Number,171163
State,Illinois,2010,Number,165200
State,Illinois,2015,Number,158116
State,Illinois,2011,Number,161312
State,Illinois,2012,Number,159160
State,Illinois,2014,Number,158556
State,Illinois,2016,Number,154445
State,Indiana,2016,Number,83091
State,Indiana,2014,Number,84080
State,Indiana,2012,Number,83227
State,Indiana,2011,Number,83701
State,Indiana,2015,Number,84040
State,Indiana,2010,Number,83940
State,Indiana,2009,Number,86673
State,Indiana,2013,Number,83102
State,Indiana,2006,Number,88631
State,Indiana,2007,Number,89864
State,Indiana,2008,Number,88742
State,Indiana,2005,Number,87193
State,Indiana,2003,Number,86434
State,Indiana,2004,Number,87142
State,Indiana,2001,Number,86459
State,Indiana,2002,Number,85081
State,Indiana,1998,Number,85122
State,Indiana,1999,Number,86031
State,Indiana,2000,Number,87699
State,Indiana,1997,Number,83436
State,Indiana,1995,Number,82835
State,Indiana,1996,Number,83513
State,Indiana,1993,Number,83949
State,Indiana,1994,Number,82595
State,Indiana,1990,Number,86214
State,Indiana,1991,Number,85707
State,Indiana,1992,Number,84140
State,Iowa,1992,Number,38469
State,Iowa,1991,Number,38989
State,Iowa,1990,Number,39409
State,Iowa,1994,Number,37079
State,Iowa,1993,Number,37826
State,Iowa,1996,Number,37139
State,Iowa,1995,Number,36810
State,Iowa,1997,Number,36659
State,Iowa,2000,Number,38266
State,Iowa,1999,Number,37558
State,Iowa,1998,Number,37282
State,Iowa,2002,Number,37559
State,Iowa,2001,Number,37619
State,Iowa,2004,Number,38438
State,Iowa,2003,Number,38174
State,Iowa,2005,Number,39311
State,Iowa,2008,Number,40224
State,Iowa,2007,Number,40886
State,Iowa,2006,Number,40607
State,Iowa,2013,Number,39094
State,Iowa,2009,Number,39701
State,Iowa,2010,Number,38719
State,Iowa,2015,Number,39482
State,Iowa,2011,Number,38214
State,Iowa,2012,Number,38702
State,Iowa,2014,Number,39687
State,Iowa,2016,Number,39403
State,Kansas,2016,Number,38053
State,Kansas,2014,Number,39223
State,Kansas,2012,Number,40341
State,Kansas,2011,Number,39642
State,Kansas,2015,Number,39154
State,Kansas,2010,Number,40649
State,Kansas,2009,Number,41396
State,Kansas,2013,Number,38839
State,Kansas,2006,Number,40968
State,Kansas,2007,Number,42004
State,Kansas,2008,Number,41833
State,Kansas,2005,Number,39888
State,Kansas,2003,Number,39476
State,Kansas,2004,Number,39669
State,Kansas,2001,Number,38869
State,Kansas,2002,Number,39412
State,Kansas,1998,Number,38422
State,Kansas,1999,Number,38782
State,Kansas,2000,Number,39666
State,Kansas,1997,Number,37289
State,Kansas,1995,Number,37201
State,Kansas,1996,Number,36651
State,Kansas,1993,Number,37406
State,Kansas,1994,Number,37379
State,Kansas,1990,Number,39020
State,Kansas,1991,Number,37839
State,Kansas,1992,Number,38027
State,Kentucky,1992,Number,53840
State,Kentucky,1991,Number,54326
State,Kentucky,1990,Number,54362
State,Kentucky,1994,Number,52983
State,Kentucky,1993,Number,53000
State,Kentucky,1996,Number,52706
State,Kentucky,1995,Number,52377
State,Kentucky,1997,Number,53203
State,Kentucky,2000,Number,56029
State,Kentucky,1999,Number,54403
State,Kentucky,1998,Number,54329
State,Kentucky,2002,Number,54233
State,Kentucky,2001,Number,54658
State,Kentucky,2004,Number,55720
State,Kentucky,2003,Number,55236
State,Kentucky,2005,Number,56444
State,Kentucky,2008,Number,58375
State,Kentucky,2007,Number,59368
State,Kentucky,2006,Number,58250
State,Kentucky,2013,Number,55686
State,Kentucky,2009,Number,57551
State,Kentucky,2010,Number,55784
State,Kentucky,2015,Number,55971
State,Kentucky,2011,Number,55370
State,Kentucky,2012,Number,55758
State,Kentucky,2014,Number,56170
State,Kentucky,2016,Number,55449
State,Louisiana,2016,Number,63178
State,Louisiana,2014,Number,64497
State,Louisiana,2012,Number,62642
State,Louisiana,2011,Number,61888
State,Louisiana,2015,Number,64692
State,Louisiana,2010,Number,62379
State,Louisiana,2009,Number,64973
State,Louisiana,2013,Number,63201
State,Louisiana,2006,Number,63376
State,Louisiana,2007,Number,66301
State,Louisiana,2008,Number,65268
State,Louisiana,2005,Number,60937
State,Louisiana,2003,Number,65040
State,Louisiana,2004,Number,65369
State,Louisiana,2001,Number,65352
State,Louisiana,2002,Number,64872
State,Louisiana,1998,Number,66888
State,Louisiana,1999,Number,67136
State,Louisiana,2000,Number,67898
State,Louisiana,1997,Number,66025
State,Louisiana,1995,Number,65641
State,Louisiana,1996,Number,65204
State,Louisiana,1993,Number,69402
State,Louisiana,1994,Number,67817
State,Louisiana,1990,Number,72192
State,Louisiana,1991,Number,72193
State,Louisiana,1992,Number,70707
State,Maine,1992,Number,16057
State,Maine,1991,Number,16753
State,Maine,1990,Number,17359
State,Maine,1994,Number,14441
State,Maine,1993,Number,15065
State,Maine,1996,Number,13774
State,Maine,1995,Number,13896
State,Maine,1997,Number,13669
State,Maine,2000,Number,13603
State,Maine,1999,Number,13616
State,Maine,1998,Number,13733
State,Maine,2002,Number,13559
State,Maine,2001,Number,13759
State,Maine,2004,Number,13944
State,Maine,2003,Number,13855
State,Maine,2005,Number,14112
State,Maine,2008,Number,13609
State,Maine,2007,Number,14120
State,Maine,2006,Number,14151
State,Maine,2013,Number,12776
State,Maine,2009,Number,13470
State,Maine,2010,Number,12970
State,Maine,2015,Number,12607
State,Maine,2011,Number,12704
State,Maine,2012,Number,12798
State,Maine,2014,Number,12698
State,Maine,2016,Number,12705
State,Maryland,2016,Number,73136
State,Maryland,2014,Number,73921
State,Maryland,2012,Number,72883
State,Maryland,2011,Number,73093
State,Maryland,2015,Number,73616
State,Maryland,2010,Number,73801
State,Maryland,2009,Number,75059
State,Maryland,2013,Number,71953
State,Maryland,2006,Number,77494
State,Maryland,2007,Number,78095
State,Maryland,2008,Number,77289
State,Maryland,2005,Number,74980
State,Maryland,2003,Number,74930
State,Maryland,2004,Number,74628
State,Maryland,2001,Number,73218
State,Maryland,2002,Number,73323
State,Maryland,1998,Number,71972
State,Maryland,1999,Number,71967
State,Maryland,2000,Number,74316
State,Maryland,1997,Number,70215
State,Maryland,1995,Number,72396
State,Maryland,1996,Number,71533
State,Maryland,1993,Number,74988
State,Maryland,1994,Number,73971
State,Maryland,1990,Number,80245
State,Maryland,1991,Number,79184
State,Maryland,1992,Number,77815
State,Massachusetts,1992,Number,87231
State,Massachusetts,1991,Number,88205
State,Massachusetts,1990,Number,92654
State,Massachusetts,1994,Number,83787
State,Massachusetts,1993,Number,84668
State,Massachusetts,1996,Number,80276
State,Massachusetts,1995,Number,81648
State,Massachusetts,1997,Number,80364
State,Massachusetts,2000,Number,81614
State,Massachusetts,1999,Number,80939
State,Massachusetts,1998,Number,81411
State,Massachusetts,2002,Number,80645
State,Massachusetts,2001,Number,81077
State,Massachusetts,2004,Number,78484
State,Massachusetts,2003,Number,80184
State,Massachusetts,2005,Number,76865
State,Massachusetts,2008,Number,77022
State,Massachusetts,2007,Number,77967
State,Massachusetts,2006,Number,77676
State,Massachusetts,2013,Number,71788
State,Massachusetts,2009,Number,75016
State,Massachusetts,2010,Number,72865
State,Massachusetts,2015,Number,71492
State,Massachusetts,2011,Number,73166
State,Massachusetts,2012,Number,72439
State,Massachusetts,2014,Number,71908
State,Massachusetts,2016,Number,71317
State,Michigan,2016,Number,113315
State,Michigan,2014,Number,114375
State,Michigan,2012,Number,113091
State,Michigan,2011,Number,114008
State,Michigan,2015,Number,113312
State,Michigan,2010,Number,114531
State,Michigan,2009,Number,117294
State,Michigan,2013,Number,113489
State,Michigan,2006,Number,127483
State,Michigan,2007,Number,125261
State,Michigan,2008,Number,121127
State,Michigan,2005,Number,127706
State,Michigan,2003,Number,131094
State,Michigan,2004,Number,129776
State,Michigan,2001,Number,133427
